purchasing,purchased,total
C28,A02,0.9
C28,A03,0
C28,B,15.87
C28,C10-12,41.83
C28,C13-15,48.77
C28,C16,55.12
C28,C17,46.19
C28,C18,19.92
C28,C19,60.94
C28,C20,176.28
C28,C21,0.17
C28,C22,609.65
C28,C23,168.35
C28,C24,1383.55
C28,C25,2301.97
C28,C26,227.85
C28,C27,270.82
C28,C28,634.56
C28,C29,301.7
C28,C30,3.21
C28,C31_32,77.08
C28,C33,542.22
C28,D,220.11
C28,E36,34.55
C28,E37-39,140.55
C28,F,428.95
C28,G45,80.81
C28,G46,2215.64
C28,G47,198.58
C28,H49,201.87
C28,H50,2.21
C28,H51,13
C28,H52,319.95
C28,H53,21.57
C28,I,127.03
C28,J58,6.51
C28,J59_60,44.49
C28,J61,120.3
C28,J62_63,122.68
C28,K64,233.72
C28,K65,79.33
C28,K66,86.79
C28,L68B,194.92
C28,L68A,0
C28,M69_70,830.64
C28,M71,239.41
C28,M72,0
C28,M73,40.12
C28,M74_75,23.83
C28,N77,205.81
C28,N78,708.21
C28,N79,22.74
C28,N80-82,279.37
C28,O,0
C28,P,138.68
C28,Q86,7.22
C28,Q87_88,0
C28,R90-92,0.04
C28,R93,18.37
C28,S94,25.07
C28,S95,110.62
C28,S96,22.84
C28,T,0
C28,HH,7975.85
C29,A01,0
C29,A02,0
C29,A03,0
C29,B,23.43
C29,C10-12,80.01
C29,C13-15,288.39
C29,C16,367.22
C29,C17,51.41
C29,C18,29.25
C29,C19,107.44
C29,C20,417.12
C29,C21,0.19
C29,C22,1980.9
C29,C23,468.07
C29,C24,2243.26
C29,C25,3594
C29,C26,329.64
C29,C27,385.13
C29,C28,958.27
C29,C29,3577.68
C29,C30,47.61
C29,C31_32,208.61
C29,C33,1645.38
C29,D,543.05
C29,E36,23.24
C29,E37-39,333.05
C29,F,164.01
C29,G45,2530.29
C29,G46,3245.94
C29,G47,511.01
C29,H49,485.95
C29,H50,6.31
C29,H51,27.46
C29,H52,571.83
C29,H53,26.79
C29,I,131.76
C29,J58,6.36
C29,J59_60,39.03
C29,J61,88.27
C29,J62_63,67.15
C29,K64,342.54
C29,K65,65.44
C29,K66,21.89
C29,L68B,102.3
C29,L68A,0
C29,M69_70,607.96
C29,M71,275.12
C29,M72,0
C29,M73,971.64
C29,M74_75,12.83
C29,N77,176.19
C29,N78,796
C29,N79,32.06
C29,N80-82,195.24
C29,O,0
C29,P,343.16
C29,Q86,12.94
C29,Q87_88,0
C29,R90-92,0
C29,R93,19.45
C29,S94,12.4
C29,S95,459.77
C29,S96,25.22
C29,T,0
C29,HH,7507
C30,A01,0
C30,A02,0
C30,A03,0
C30,B,21.77
C30,C10-12,8.71
C30,C13-15,84.36
C30,C16,87.61
C30,C17,26.63
C30,C18,14.34
C30,C19,14.36
C30,C20,125.07
C30,C21,0.17
C30,C22,371.06
C30,C23,75.93
C30,C24,330.25
C30,C25,1033.89
C30,C26,620.13
C30,C27,143.44
C30,C28,323.55
C30,C29,46.32
C30,C30,3690.96
C30,C31_32,72.29
C30,C33,3163.82
C30,D,162.94
C30,E36,28.03
C30,E37-39,67.17
C30,F,190.02
C30,G45,84.42
C30,G46,1734.81
C30,G47,137.68
C30,H49,167.53
C30,H50,2.15
C30,H51,22.45
C30,H52,344.09
C30,H53,21.14
C30,I,173.94
C30,J58,11.12
C30,J59_60,103.6
C30,J61,104.76
C30,J62_63,189.03
C30,K64,239.34
C30,K65,96.4
C30,K66,53.92
C30,L68B,302.83
C30,L68A,0
C30,M69_70,912.21
C30,M71,636.73
C30,M72,0
C30,M73,32.28
C30,M74_75,33.87
C30,N77,248.71
C30,N78,598.05
C30,N79,34.87
C30,N80-82,365.49
C30,O,0
C30,P,159.07
C30,Q86,7.29
C30,Q87_88,0
C30,R90-92,0
C30,R93,24.58
C30,S94,51.72
C30,S95,67.54
C30,S96,22.29
C30,T,0
C30,HH,5848
C31_32,A01,0.01
C31_32,A02,0.02
