purchasing,purchased,total
N79,C24,2.5
N80-N82,C24,659.05
O84,C24,454.53
P85,C24,100.35
Q86,C24,38.55
Q87_Q88,C24,10.01
R90-R92,C24,31.63
R93,C24,16.41
S94,C24,17.65
S95,C24,217.46
S96,C24,76.67
T,C24,2.15
U,C24,0
P3,C24,507.23
P51,C24,2051.63
A01,C25,1895.36
A02,C25,134.27
A03,C25,89.54
B,C25,1914.01
C10-C12,C25,7570.03
C13-C15,C25,1092.60
C16,C25,1606.22
C17,C25,897.76
C18,C25,422.16
C19,C25,1519.81
C20,C25,4122.79
C21,C25,612.61
C22,C25,4641.17
C23,C25,2829.68
C24,C25,11096.73
C25,C25,70759.05
C26,C25,5350.20
C27,C25,11236.75
C28,C25,45279.60
C29,C25,33667.31
C30,C25,9505.84
C31_C32,C25,5729.38
C33,C25,13036.74
D35,C25,4717.18
E36,C25,599.41
E37-E39,C25,3476.46
F,C25,63274.33
G45,C25,4130.50
G46,C25,6140.06
G47,C25,1982.10
H49,C25,1580.21
H50,C25,172.29
H51,C25,110.41
H52,C25,1447.72
H53,C25,83.01
I,C25,1182.63
J58,C25,286.06
J59_J60,C25,135.73
J61,C25,648.06
J62_J63,C25,1051.52
K64,C25,145.47
K65,C25,70.54
K66,C25,55.33
L68B,C25,2408.59
L68A,C25,595.3
M69_M70,C25,815.29
M71,C25,1755.43
M72,C25,1270.23
M73,C25,391.27
M74_M75,C25,471.54
N77,C25,1676.67
N78,C25,170.74
N79,C25,52.18
N80-N82,C25,1643.34
O84,C25,7275.14
P85,C25,584.38
Q86,C25,676.53
Q87_Q88,C25,295.13
R90-R92,C25,205.07
R93,C25,167.59
S94,C25,164.12
S95,C25,328.61
S96,C25,179.38
T,C25,8.91
U,C25,0
P3,C25,18149.20
P51,C25,47724.70
A01,C26,171.17
A02,C26,24.13
A03,C26,23.8
B,C26,263.8
C10-C12,C26,717.95
C13-C15,C26,189.53
C16,C26,168.27
C17,C26,271.16
C18,C26,500.75
C19,C26,393.63
C20,C26,1237.88
C21,C26,309.98
C22,C26,813.73
C23,C26,570.57
C24,C26,767.3
C25,C26,2157.92
C26,C26,50013.94
C27,C26,12176.76
C28,C26,9113.96
C29,C26,6209.89
C30,C26,5603.41
C31_C32,C26,3491.35
